EbN0_dB,BER_BPSK_MLP,BER_BPSK_Optimal,BER_QPSK_MLP,BER_QPSK_Optimal,BER_Theory_Bit
0.0,0.0006,0.5456,0.095,0.5346666666666666,0.07864960352514255
1.0,0.0002,0.539,0.08716666666666667,0.5293333333333333,0.05628195197654151
2.0,0.0,0.5156,0.0905,0.5203333333333333,0.03750612835892603
3.0,0.0,0.5068,0.08416666666666667,0.5063333333333333,0.022878407561085334
4.0,0.0,0.495,0.084,0.5078333333333334,0.012500818040737549
5.0,0.0,0.5126,0.07,0.508,0.00595386714777868
6.0,0.0,0.4934,0.0685,0.5066666666666667,0.0023882907809328335
7.0,0.0,0.4998,0.0645,0.49583333333333335,0.0007726748153784602
8.0,0.0,0.5142,0.06016666666666667,0.4995,0.0001909077740759879
9.0,0.0,0.5054,0.0515,0.5045,3.362722841959709e-05
10.0,0.0,0.4962,0.0505,0.498,3.8721082155079856e-06
11.0,0.0,0.4976,0.036833333333333336,0.5176666666666667,2.6130679536828794e-07
12.0,0.0,0.502,0.028833333333333332,0.5021666666666667,9.006010326384484e-09
